transaction_id,account_id,transaction_timestamp,transaction_type,merchant_id,merchant_name,merchant_category,amount,currency,transaction_status,card_present_flag,source_system
TXN00000001,ACC000024,2026-04-08T17:12:52,PURCHASE,M003,Target,RETAIL,25.8,USD,POSTED,N,CARD_PROCESSOR
TXN00000002,ACC000244,2026-05-27T06:37:13,PURCHASE,M010,Starbucks,DINING,30.2,USD,POSTED,N,CARD_PROCESSOR
TXN00000003,ACC000191,2026-04-05T02:30:29,PURCHASE,M002,Walmart,RETAIL,7.59,USD,PENDING,Y,CARD_PROCESSOR
TXN00000004,ACC000370,2026-06-12T11:40:34,PURCHASE,M004,Uber,TRANSPORT,5.94,USD,POSTED,N,CARD_PROCESSOR
TXN00000005,ACC000011,2026-06-01T15:12:33,PURCHASE,M010,Starbucks,DINING,125.07,USD,POSTED,Y,CARD_PROCESSOR
TXN00000006,ACC000269,2026-02-12T01:53:37,PURCHASE,M006,Whole Foods,GROCERY,77.93,USD,REVERSED,N,CARD_PROCESSOR
TXN00000007,ACC000024,2026-06-18T16:40:42,PURCHASE,M005,Delta,TRAVEL,157.53,USD,PENDING,Y,CARD_PROCESSOR
TXN00000008,ACC000317,2026-03-19T13:51:35,PURCHASE,M001,Amazon,E_COMMERCE,12.52,USD,POSTED,N,CARD_PROCESSOR
TXN00000009,ACC000210,2026-04-04T18:39:45,REFUND,M006,Whole Foods,GROCERY,-26.0,USD,POSTED,Y,CARD_PROCESSOR
TXN00000010,ACC000269,2026-03-10T03:01:59,PURCHASE,M005,Delta,TRAVEL,62.72,USD,POSTED,Y,CARD_PROCESSOR
TXN00000011,ACC000139,2026-02-15T13:35:40,PURCHASE,M002,Walmart,RETAIL,5.79,USD,POSTED,Y,CARD_PROCESSOR
TXN00000012,ACC000006,2026-01-04T12:25:13,PURCHASE,M012,CVS,PHARMACY,174.17,USD,POSTED,N,CARD_PROCESSOR
TXN00000013,ACC000349,2026-06-20T03:51:11,PURCHASE,M006,Whole Foods,GROCERY,40.63,USD,PENDING,Y,CARD_PROCESSOR
TXN00000014,ACC000104,2026-07-03T03:20:04,PURCHASE,M002,Walmart,RETAIL,11.45,USD,POSTED,Y,CARD_PROCESSOR
TXN00000015,ACC000272,2026-06-30T06:46:27,PURCHASE,M010,Starbucks,DINING,27.2,USD,POSTED,N,CARD_PROCESSOR
TXN00000016,ACC000103,2026-01-02T02:53:47,PURCHASE,M009,Best Buy,ELECTRONICS,16.56,USD,POSTED,Y,CARD_PROCESSOR
TXN00000017,ACC000069,2026-01-20T06:51:07,CASH_ADVANCE,M012,CVS,PHARMACY,15.01,USD,POSTED,N,CARD_PROCESSOR
TXN00000018,ACC000332,2026-05-10T23:19:24,PURCHASE,M007,Netflix,SUBSCRIPTION,17.43,USD,POSTED,Y,CARD_PROCESSOR
