payment_id,account_id,payment_timestamp,payment_amount,payment_method,payment_status,source_system
PAY0000001,ACC000349,2026-05-27T16:47:16,176.27,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000002,ACC000172,2026-03-16T15:35:00,672.55,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000003,ACC000319,2026-05-28T21:05:49,400.04,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000004,ACC000037,2026-03-24T09:20:51,1851.64,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000005,ACC000267,2026-05-31T01:39:50,1748.65,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000006,ACC000271,2026-06-18T07:59:08,505.95,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000007,ACC000152,2026-02-02T15:41:58,626.91,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000008,ACC000088,2026-04-28T13:00:19,119.53,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000009,ACC000313,2026-02-14T03:44:08,518.9,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000010,ACC000010,2026-03-29T00:51:23,1068.27,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000011,ACC000161,2026-05-13T22:50:39,2355.36,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000012,ACC000247,2026-06-11T19:33:40,1070.98,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000013,ACC000349,2026-03-05T01:11:17,1321.81,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000014,ACC000201,2026-06-18T18:36:10,285.24,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000015,ACC000057,2026-02-08T03:15:57,1161.98,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000016,ACC000160,2026-03-18T21:26:07,340.07,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000017,ACC000037,2026-02-26T09:16:26,307.31,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000018,ACC000016,2026-04-26T04:16:02,1350.87,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000019,ACC000300,2026-03-31T07:44:54,430.37,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000020,ACC000274,2026-01-12T17:03:52,2448.76,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000021,ACC000005,2026-02-21T11:48:27,1775.31,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000022,ACC000073,2026-05-06T03:49:20,483.41,ACH,FAILED,PAYMENTS_PLATFORM
PAY0000023,ACC000087,2026-04-16T19:37:21,1644.36,BANK_TRANSFER,FAILED,PAYMENTS_PLATFORM
PAY0000024,ACC000355,2026-05-11T19:27:20,1154.24,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000025,ACC000194,2026-02-06T18:17:45,1493.46,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000026,ACC000366,2026-06-30T20:05:00,1208.21,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000027,ACC000275,2026-04-06T13:31:34,338.64,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000028,ACC000211,2026-07-04T17:38:34,551.29,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000029,ACC000003,2026-03-28T10:57:02,924.32,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000030,ACC000234,2026-06-24T13:51:36,606.26,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000031,ACC000201,2026-02-27T10:30:20,76.45,BANK_TRANSFER,PENDING,PAYMENTS_PLATFORM
PAY0000032,ACC000178,2026-02-11T11:04:03,368.59,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000033,ACC000228,2026-06-23T21:19:51,1975.91,BANK_TRANSFER,FAILED,PAYMENTS_PLATFORM
PAY0000034,ACC000247,2026-04-20T18:47:54,655.17,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000035,ACC000030,2026-05-04T20:18:11,195.36,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000036,ACC000008,2026-03-12T04:09:51,1151.11,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000037,ACC000354,2026-04-23T09:51:42,1684.27,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000038,ACC000265,2026-01-15T07:40:31,562.83,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000039,ACC000137,2026-01-22T03:40:17,95.84,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000040,ACC000352,2026-05-08T01:58:31,197.17,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000041,ACC000365,2026-05-05T18:29:12,475.93,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000042,ACC000143,2026-04-03T13:43:36,58.86,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000043,ACC000132,2026-02-12T00:53:38,200.97,ACH,PENDING,PAYMENTS_PLATFORM
PAY0000044,ACC000084,2026-02-06T07:09:47,1435.93,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000045,ACC000195,2026-03-15T01:52:22,635.31,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000046,ACC000110,2026-05-28T09:28:54,2412.53,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000047,ACC000346,2026-05-04T20:05:58,206.8,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000048,ACC000359,2026-07-06T11:24:44,2463.12,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000049,ACC000207,2026-01-26T11:43:33,993.95,DEBIT_CARD,PENDING,PAYMENTS_PLATFORM
PAY0000050,ACC000212,2026-01-17T14:01:56,664.3,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000051,ACC000240,2026-04-19T09:41:44,-125.0,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000052,ACC000163,2026-04-18T23:22:02,2052.19,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000053,ACC000290,2026-03-29T10:46:43,1492.16,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000054,ACC000184,2026-05-10T21:42:13,1320.29,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000055,ACC000280,2026-03-05T05:23:14,1070.12,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000056,ACC000136,2026-04-18T01:55:11,448.28,ACH,PENDING,PAYMENTS_PLATFORM
PAY0000057,ACC000034,2026-01-23T15:59:04,2096.19,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000058,ACC000086,2026-07-07T03:17:42,1879.15,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000059,ACC000098,2026-05-12T20:10:07,2416.02,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000060,ACC000133,2026-02-19T19:25:28,515.22,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000061,ACC000310,2026-03-04T09:31:47,494.42,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000062,ACC000043,2026-07-02T02:01:30,1473.34,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000063,ACC000176,2026-06-21T03:25:01,561.37,ACH,FAILED,PAYMENTS_PLATFORM
PAY0000064,ACC000094,2026-02-16T15:07:09,405.26,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000065,ACC000191,2026-05-15T19:57:06,592.86,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000066,ACC000340,2026-06-11T14:04:28,2119.09,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000067,ACC000021,2026-07-08T11:01:03,831.58,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000068,ACC000081,2026-04-12T16:59:39,1030.28,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000069,ACC000277,2026-05-13T13:37:18,159.35,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000070,ACC000160,2026-01-14T22:19:01,316.15,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000071,ACC000257,2026-01-24T19:14:38,808.21,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000072,ACC000046,2026-06-16T16:59:52,1345.99,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000073,ACC000232,2026-01-30T13:11:54,272.82,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000074,ACC000006,2026-06-22T22:56:36,441.64,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000075,ACC000016,2026-01-25T07:49:23,634.7,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000076,ACC000006,2026-01-21T15:20:04,222.16,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000077,ACC000059,2026-03-07T14:44:27,791.33,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000078,ACC000185,2026-06-05T19:56:43,2058.36,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000079,ACC000098,2026-01-30T06:15:11,346.43,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000080,ACC000116,2026-03-28T09:09:09,2050.1,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000081,ACC000054,2026-06-17T20:58:21,644.87,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000082,ACC000255,2026-03-05T14:32:44,502.19,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000083,ACC000060,2026-04-05T08:40:22,159.44,BANK_TRANSFER,COMPLETED,PAYMENTS_PLATFORM
PAY0000084,ACC000127,2026-01-10T19:44:21,52.47,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000085,ACC000021,2026-01-14T06:12:50,503.02,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000086,ACC000208,2026-03-21T17:29:50,668.44,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000087,ACC000125,2026-04-03T20:33:04,499.4,BANK_TRANSFER,FAILED,PAYMENTS_PLATFORM
PAY0000088,ACC000158,2026-04-20T21:07:44,702.11,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
PAY0000089,ACC000169,2026-05-06T03:06:44,381.18,ACH,COMPLETED,PAYMENTS_PLATFORM
PAY0000090,ACC000332,2026-02-12T17:48:32,448.39,DEBIT_CARD,COMPLETED,PAYMENTS_PLATFORM
